ID,Award,GrammyYear,Genre,Album,Artist
0,Album Of The Year,2018,General,Golden Hour,Kacey Musgraves
1,Best Traditional Pop Vocal Album,2018,Traditional Pop,My Way,Willie Nelson
6,Best Alternative Music Album,2018,Alternative,Colors,Beck
23,Best Americana Album,2018,American Roots Music,"By The Way, I Forgive You",Brandi Carlile
29,Best Reggae Album,2018,Reggae,44/876,Sting
41,Album Of The Year,2017,General,24K Magic,Bruno Mars
43,Best Pop Vocal Album,2017,Pop,÷ (Divide),Ed Sheeran
49,Best R&B Album,2017,R&B,24K Magic,Bruno Mars
50,Best Rap Album,2017,Rap,DAMN.,Kendrick Lamar
59,Best Roots Gospel Album,2017,Gospel/Contemporary Christian Music,Sing It Now: Songs Of Faith & Hope,Reba McEntire
60,Best Latin Pop Album,2017,Latin,El Dorado,Shakira
78,"Best Engineered Album, Non-Classical",2017,"Production, Non-Classical",24K Magic,Bruno Mars
82,Album Of The Year,2016,General,25,Adele
83,Best Traditional Pop Vocal Album,2016,Traditional Pop,Summertime: Willie Nelson Sings Gershwin,Willie Nelson
84,Best Pop Vocal Album,2016,Pop,25,Adele
88,Best Alternative Music Album,2016,Alternative,Blackstar,David Bowie
119,"Best Engineered Album, Non-Classical",2016,"Production, Non-Classical",Blackstar,David Bowie
163,Album Of The Year,2014,General,Morning Phase,Beck
164,Best Traditional Pop Vocal Album,2014,Traditional Pop,Cheek To Cheek,Tony Bennett
170,Best Urban Contemporary Album,2014,R&B,Girl,Pharrell Williams
171,Best R&B Album,2014,R&B,"Love, Marriage & Divorce",Toni Braxton
172,Best Rap Album,2014,Rap,The Marshall Mathers LP2,Eminem
173,Best Country Album,2014,Country,Platinum,Miranda Lambert
185,Best Tropical Latin Album,2014,Latin,Más + Corazón Profundo,Carlos Vives
199,"Best Engineered Album, Non-Classical",2014,"Production, Non-Classical",Morning Phase,Beck
205,Best Pop Vocal Album,2013,Pop,Unorthodox Jukebox,Bruno Mars
210,Best Urban Contemporary Album,2013,R&B,Unapologetic,Rihanna
211,Best R&B Album,2013,R&B,Girl On Fire,Alicia Keys
239,Best Surround Sound Album,2013,"Production, Immersive Audio",Live Kisses,Paul McCartney
243,Best Pop Vocal Album,2012,Pop,Stronger,Kelly Clarkson
245,Best Traditional Pop Vocal Album,2012,Traditional Pop,Kisses On The Bottom,Paul McCartney
250,Best Rap Album,2012,Rap,Take Care,Drake
259,Best Latin Pop Album,2012,Latin,MTV Unplugged Deluxe Edition,Juanes
279,Album Of The Year,2011,General,21,Adele
281,Best Pop Vocal Album,2011,Pop,21,Adele
283,Best Traditional Pop Vocal Album,2011,Traditional Pop,Duets II,Tony Bennett
286,Best R&B Album,2011,R&B,F.A.M.E.,Chris Brown
287,Best Rap Album,2011,Rap,My Beautiful Dark Twisted Fantasy,Kanye West
317,Best Pop Vocal Album,2010,Pop,The Fame Monster,Lady Gaga
322,Best R&B Album,2010,R&B,Wake Up!,John Legend
323,Best Contemporary R&B Album,2010,R&B,Raymond V Raymond,Usher
324,Best Rap Album,2010,Rap,Recovery,Eminem
337,Best Latin Pop Album,2010,Latin,Paraiso Express,Alejandro Sanz
348,Best Contemporary Folk Album,2010,American Roots Music,God Willin' & The Creek Don't Rise,Ray LaMontagne
364,"Best Engineered Album, Non-Classical",2010,"Production, Non-Classical",Battle Studies,John Mayer
