ID,X,GrammyAward,GrammyYear,Genre,Name,Artist
1,0,Record Of The Year,2018,General,this is America,Childish Gambino
2,1,Song Of The Year,2018,General,this is America,Childish Gambino
3,2,Best Pop Solo Performance,2018,Pop,Joanne (where Do you Think You're Goin'?),Lady Gaga
4,3,Best Pop Duo/Group Performance,2018,Pop,Shallow,Lady Gaga & Bradley Cooper
5,4,Best Dance Recording,2018,Dance/Electronic Music,Electricity,Silk City & Dua Lipa Featuring Diplo & Mark Ronson
6,5,Best Rock Performance,2018,Rock,when Bad Does Good,Chris Cornell
7,6,Best Metal Performance,2018,Rock,Electric Messiah,High on Fire
8,7,Best Rock Song,2018,Rock,Masseduction,St Vincent
9,8,Best R&B Performance,2018,R&B,Best Part,He.r. Featuring Daniel Caesar
10,9,Best Traditional R&B Performance,2018,R&B,How Deep is your Love,Pj Morton Featuring Yebba
11,10,Best R&B Song,2018,R&B,Boo'd Up,Ella Mai
12,11,Best Rap Performance,2018,Rap,Bubblin,Anderson Paak
13,12,Best Rap/Sung Performance,2018,Rap,this is America,Childish Gambino
14,13,Best Rap Song,2018,Rap,God's Plan,Drake
15,14,Best Country Solo Performance,2018,Country,Butterflies,Kacey Musgraves
16,15,Best Country Duo/Group Performance,2018,Country,Tequila,Dan   Shay
17,16,Best Country Song,2018,Country,Space Cowboy,Kacey Musgraves
18,17,Best Improvised Jazz Solo,2018,Jazz,Don't Fence Me in,"John Daversa, Soloistregina Carter, Soloistfred Hersch, Soloistbrad Mehldau, Soloistmiguel zenón, Soloist"
19,18,Best Gospel Performance/Song,2018,Gospel/Contemporary Christian Music,Never Alone,"Tori Kelly Featuring Kirk Franklin; Kirk Franklin & Victoria Kelly, Songwritersjekalyn Carr; Allen Carr & Jekalyn Carr, Songwriterskoryn Hawthornejonathan Mcreynolds Featuring Doe; Jonathan Mcreynolds & will Reagan, Songwritersbrian Courtney Wilson; Aaron w Lindsey, Alvin Richardson & Brian Courtney Wilson, Songwriters"
20,19,Best Contemporary Christian Music Performance/Song,2018,Gospel/Contemporary Christian Music,you Say,"Lauren Daigle; Lauren Daigle, Jason Ingram & Paul Mabury, Songwriterscory Asbury; Cory Asbury, Caleb Culver & Ran Jackson, Songwritersfor King & Country; Ben Glover, Matt Hales, Stephen Blake Kanicka, Seth Mosley, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, Songwritersmercyme Featuring John Reuben; David Garcia, Ben Glover, Mercyme, Solomon Olds & John Reuben, Songwriterstauren Wells; Ethan Hulse, Jordan Sapp & Tauren Wells, Songwriters"
21,20,Best American Roots Performance,2018,American Roots Music,The Joke,Brandi Carlile
22,21,Best American Roots Song,2018,American Roots Music,The Joke,Brandi Carlile
23,22,Best Song Written For Visual Media,2018,Composing/Arranging,Shallow,Lady Gaga & Bradley Cooper
