ID,X,GrammyAward,GrammyYear,Genre,Name,Artist
4,3,Best Pop Duo/Group Performance,2018,Pop,Shallow,Lady Gaga & Bradley Cooper
5,4,Best Dance Recording,2018,Dance/Electronic Music,Electricity,Silk City & Dua Lipa Featuring Diplo & Mark Ronson
7,6,Best Metal Performance,2018,Rock,Electric Messiah,High on Fire
8,7,Best Rock Song,2018,Rock,Masseduction,St Vincent
9,8,Best R&B Performance,2018,R&B,Best Part,He.r. Featuring Daniel Caesar
10,9,Best Traditional R&B Performance,2018,R&B,How Deep is your Love,Pj Morton Featuring Yebba
11,10,Best R&B Song,2018,R&B,Boo'd Up,Ella Mai
12,11,Best Rap Performance,2018,Rap,Bubblin,Anderson Paak
15,14,Best Country Solo Performance,2018,Country,Butterflies,Kacey Musgraves
16,15,Best Country Duo/Group Performance,2018,Country,Tequila,Dan   Shay
17,16,Best Country Song,2018,Country,Space Cowboy,Kacey Musgraves
18,17,Best Improvised Jazz Solo,2018,Jazz,Don't Fence Me in,"John Daversa, Soloistregina Carter, Soloistfred Hersch, Soloistbrad Mehldau, Soloistmiguel zenón, Soloist"
23,22,Best Song Written For Visual Media,2018,Composing/Arranging,Shallow,Lady Gaga & Bradley Cooper
27,26,Best Pop Duo/Group Performance,2017,Pop,Feel it Still,Portugal the Man
28,27,Best Dance Recording,2017,Dance/Electronic Music,Tonite,Lcd Soundsystem
30,29,Best Metal Performance,2017,Rock,Sultan’s Curse,Mastodon
31,30,Best Rock Song,2017,Rock,Run,"Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear), Songwriters (Foo Fighters"
36,35,Best Rap/Sung Performance,2017,Rap,Loyalty.,Kendrick Lamar Featuring Rihanna
38,37,Best Country Solo Performance,2017,Country,Either Way,Chris Stapleton
39,38,Best Country Duo/Group Performance,2017,Country,Better Man,Little Big Town
40,39,Best Country Song,2017,Country,Broken Halos,Chris Stapleton
41,40,Best Improvised Jazz Solo,2017,Jazz,Miles Beyond,"John Mclaughlin, Soloist"
