mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,Rihanna,United States,Barbados; United States,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,pop; rnb; female vocalists; dance; Hip-Hop; Rihanna; r&b; seen live; reggae; hip hop; sexy; female; female vocalist; american; dancehall; barbados; soul; barbadian; electronic; 00s; dance-pop; club; urban; r'n'b; guilty pleasure; electropop; hot; party; rhythm and blues; dance pop; Love; diva; beautiful; rock; USA; pop rock; mainstream; r and b; Guilty Pleasures; hiphop; legend; bitch; rap; House; alternative; amazing; english; Britney Spears; umbrella,4558193,199248986,FALSE,0
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Eminem,United States,United States,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,rap; Hip-Hop; Eminem; hip hop; pop; american; detroit; seen live; hiphop; Gangsta Rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; USA; singer-songwriter; Shady; d12; emo; Horrorcore; Aftermath; dance; Michigan; white rap,4517997,199507511,FALSE,0
164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Kanye West,United States,United States,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,Hip-Hop; rap; hip hop; rnb; Kanye West; seen live; Gay Fish; american; pop; chicago; hiphop; soul; electronic; gayfish; producer; alternative; male vocalists; 00s; kanye; indie; rock; urban; experimental; dance; r&b; pop rap; alternative rap; electronica; alternative hip-hop; USA; good music; midwest rap,4390502,238603850,FALSE,0
650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,Lady Gaga,United States,United States,electronic; synthpop; pop; american; usa; electropop; américain; dance-pop; pop rock; united states; the fame; gata rahe mera dil; edge of glory,pop; dance; electronic; female vocalists; female vocalist; Lady Gaga; electropop; seen live; american; gaga; singer-songwriter; sexy; diva; glam; 00s; dance-pop; electronica; synthpop; legend; dance pop; electro; guilty pleasure; rock; Disco; female; party; poker face; hot; USA; mother monster; new york; club; gay; queen of pop; Queen; amazing; <3; bitch; Love; LADY; techno; alternative; rnb; monster; catchy; icon,3820581,285469647,FALSE,0
122d63fc-8671-43e4-9752-34e846d62a9c,Katy Perry,Katy Perry,United States,United States,rock; pop; house; american; usa; electropop; américain; dance-pop; pop rock; united states; cute; katy perry; multiple ipi; bubblegum; california gurls; ur so fail; fail; trap; lame; her expression is like shes thinking something dumb; nope still fail; still fail; lolol trap?; megafail; failfail; ur so fail; ur so faaaail; chesty; ‟ur so fail”; total fail; ur so lame; i'm gay if i am shut up; katy perry is gay; megalmaestupiddumb; also fail; what's wrong with being gay? gay; uncool,pop; female vocalists; pop rock; indie; rock; katy perry; american; dance; seen live; female vocalist; sexy; electronic; electropop; singer-songwriter; female; alternative; guilty pleasure; 00s; katy; USA; hot; fun; Love; bitch; beautiful; cool; mainstream; dance-pop; Pop-Rock; diva; amazing; female vocals; catchy; California; dance pop; indie rock; Guilty Pleasures; rnb; Awesome; I Kissed a Girl; indie pop; female vocal; legend,3733134,146330284,FALSE,0
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,Michael Jackson,United States,United States,rock; pop; american; blues; singer; usa; funk; soul; disco; rnb; composer; américain; lyricist; dance-pop; pop rock; new jack swing; parolier; chanteur; compositeur; classic pop and rock; cool; united states; pop soul; michael-jackson; contemporary rnb; r&b; contemporary r&b,pop; 80s; dance; soul; funk; king of pop; michael jackson; rock; Disco; legend; rnb; american; 90s; male vocalists; 70s; seen live; King; r&b; singer-songwriter; mj; pop rock; motown; genius; USA; The King of Pop; Dead; new jack swing; male vocalist; classic rock; Jackson; Michael; electronic; dance-pop; Legendary,3546966,131160791,FALSE,0
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Drake,Canada,Canada,hip hop; pop rap; rapper; contemporary r&b; alternative r&b; trap rap; rap us; hardcore hip; cotm candidate,Hip-Hop; rap; rnb; hip hop; Canadian; Drake; seen live; r&b; pop; young money; male vocalists; canada; indie; toronto; drizzy; pop rap; Lil Wayne; soul; sexy; alternative rap; Degrassi; hiphop; Kanye West; alternative hip-hop; Hip Hop/Rap; contemporary rnb; alternative rnb; urban; lyrical; swag; trey songz; chill; 00s; 10s; YMCMB,3379644,140245379,FALSE,0
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,David Bowie,United Kingdom,United Kingdom,rock; pop; alternative rock; experimental; british; singer-songwriter; uk; britannique; soul; glam rock; art rock; psychedelic pop; experimental rock; pop rock; blue-eyed soul; english; classic pop and rock; post-disco; pop/rock; art pop,rock; glam rock; classic rock; 80s; alternative; british; pop; 70s; glam; seen live; singer-songwriter; art rock; experimental; david bowie; new wave; alternative rock; indie; electronic; Progressive rock; male vocalists; bowie; 90s; Experimental Rock; proto-punk; 60s; UK; psychedelic; hard rock; pop rock; post-punk; ambient; classic; english; soul; genius; legend; Blue-Eyed Soul; britpop; indie rock; favorites; Psychedelic Rock; god; england; industrial; oldies; punk; electronica; funk; Avant-Garde; folk; krautrock; london; 00s; dance; folk rock; space rock; male vocalist; art pop; Awesome; Favourites,3354711,193061649,FALSE,0
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,Britney Spears,United States,United States,pop; dance; american; usa; electropop; américain; dance-pop; urban pop; electro house; pop and chart; teen pop; contemporary r&b; if you seek amy,pop; dance; female vocalists; Britney Spears; legend; american; seen live; sexy; female; 90s; electronic; 00s; britney; diva; teen pop; bitch; female vocalist; dance-pop; queen of pop; rock; Officially Shit; electropop; guilty pleasure; rnb; hot; Guilty Pleasures; Brutal Death Metal; pop princess; amazing; USA; Love; shit; princess of pop; pop rock; alternative; dance pop; Crap; Queen; all things annoying in the world put together into one stupid bitch; beautiful; gay; Its Britney Bitch; electro; party; Madonna; Hip-Hop; dubstep; princess; emo; singer-songwriter; fun; icon; english; black metal; r&b; living legend; female vocal; Toxic; Wanessa; electronica; Awesome; Favorite; sweet; indie; club; sex; House; trance; death metal,3255085,201961724,FALSE,0
79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,Madonna,United States,United States,electronic; downtempo; pop; jazz; dance; american; arabic; singer; usa; electropop; américain; dance-pop; chanteur; greatest hits; tell me; pop and chart; multiple ipi; art pop; secret,pop; dance; female vocalists; 80s; electronic; Madonna; seen live; 90s; american; female; rock; queen of pop; Disco; female vocalist; legend; diva; 00s; singer-songwriter; electronica; sexy; dance-pop; Queen; alternative; icon; dance pop; USA; electropop; pop rock; gay; female vocals; Love; rnb; club; Ballad,3102727,154336623,FALSE,0
