songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78
6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73
12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73
14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66
28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63
29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63
30,California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61
38,If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57
43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57
44,Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56
45,You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49
50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33
51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10,45,191,1,3,0
52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
55,Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74
63,Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73
64,Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73
65,Marry You,Bruno Mars,pop,2011,145,83,62,-5,10,48,230,33,4,73
69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72
72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69
73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69
74,Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69
75,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68
77,The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67
78,E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66
79,Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65
80,I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64
82,You And I,Lady Gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64
83,Judas,Lady Gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63
85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61
